"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1043: 0 to 17 years","v_CA21_1046: 0 to 5 years","v_CA21_1049: 18 to 64 years","v_CA21_1052: 65 years and over","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_1088: 0 to 17 years","v_CA21_1091: 0 to 5 years","v_CA21_1094: 18 to 64 years","v_CA21_1097: 65 years and over","v_CA21_1140: Gini index on adjusted household total income","v_CA21_1141: Gini index on adjusted household market income","v_CA21_1142: Gini index on adjusted household after-tax income","v_CA21_8: Total - Age","v_CA21_251: 65 years and over","v_CA21_386: Average age","v_CA21_389: Average age"
"489","5350351.02","CT","0351.02",0.5669,2683,1074,1013,"35535","","3520005","3520",13.6,20,19,11.8,14,8.5,7.6,7,9.6,5.6,0.285,0.446,0.254,2680,470,42,41.6
"490","5350352.00","CT","0352.00",1.1268,5278,1917,1829,"35535","","3520005","3520",9.8,12.4,16.5,7.7,15.8,6.5,5.6,8,7.1,5.2,0.266,0.418,0.239,5275,975,42.5,41.6
"491","5350353.02","CT","0353.02",1.2111,5464,1717,1641,"35535","","3520005","3520",9,13.6,17,7.1,10.8,5,4.6,5,5.6,3.2,0.266,0.422,0.239,5465,845,39.9,38.8
"492","5350353.03","CT","0353.03",0.4081,3000,1094,1044,"35535","","3520005","3520",9.2,8.8,12,8,13.6,6.9,4,6,8.3,4.4,0.278,0.419,0.25,3000,540,41.8,40.8
"493","5350353.04","CT","0353.04",0.6296,4255,1637,1531,"35535","","3520005","3520",17.6,26,26,14.3,19.6,9.4,10.2,11,9.9,6.2,0.288,0.487,0.258,4255,640,39.9,39.2
"494","5350354.00","CT","0354.00",1.3228,5421,1847,1716,"35535","","3520005","3520",10.4,14.6,12,9.4,10.4,7.9,6.4,5,9.4,4,0.288,0.43,0.259,5420,1050,42.5,41.2
"495","5350355.02","CT","0355.02",1.1008,5097,1975,1897,"35535","","3520005","3520",12,17.2,18.5,9.5,15.7,6.4,7.4,9.5,6.7,4.8,0.29,0.447,0.26,5095,1050,43.1,43.2
"496","5350355.04","CT","0355.04",0.5752,5152,1803,1741,"35535","","3520005","3520",12.3,18.2,20,8.9,19.2,7.1,9,11,6.9,4.8,0.264,0.448,0.236,5150,880,40.6,39.2
"497","5350355.05","CT","0355.05",0.3124,3525,1488,1395,"35535","","3520005","3520",16.6,18.8,22,12.9,28.4,8.2,7.4,8.5,8.3,8.8,0.268,0.458,0.241,3525,525,38.9,38
"498","5350355.06","CT","0355.06",0.1918,1791,610,586,"35535","","3520005","3520",19.8,25.2,32,16.8,25,12.7,16.5,24,12,7,0.308,0.5,0.278,1790,175,35.5,33.6
"499","5350356.00","CT","0356.00",1.5419,4962,1599,1515,"35535","","3520005","3520",6.6,7.8,8.5,5.9,7.6,5.6,3.8,4,6.9,3.2,0.258,0.392,0.23,4960,1065,43.6,43.6
"500","5350357.01","CT","0357.01",1.0372,6706,2480,2351,"35535","","3520005","3520",24.2,26.1,26,17,44.4,9.9,10,10.4,9.7,10.4,0.276,0.511,0.25,6705,1220,38.9,36.4
"501","5350357.02","CT","0357.02",1.0921,5001,1775,1704,"35535","","3520005","3520",25.1,33.6,37.5,21.8,21.2,15.1,19.2,23.2,14.8,6.6,0.321,0.572,0.29,5005,600,35.9,33.6
"502","5350358.01","CT","0358.01",1.1212,3504,1181,1116,"35535","","3520005","3520",7.8,12.4,13,6.7,7,6,5.2,4,7.5,2,0.28,0.428,0.248,3505,660,41.7,40.8
"503","5350358.02","CT","0358.02",0.6179,5280,2151,2042,"35535","","3520005","3520",18.6,22.2,23,16.1,23.4,10.7,10.6,11,11.6,7.2,0.302,0.495,0.274,5280,880,40.2,39.2
"504","5350358.03","CT","0358.03",1.0926,5718,2298,2209,"35535","","3520005","3520",20.8,21,23,19.4,27,13.8,10.4,11,15.9,8.8,0.308,0.501,0.28,5720,805,40,40.4
